episode_id,function_id,seed,step_idx,tau,budget_used_before,budget_remaining_frac_before,strategy,F,CR,budget_frac_action,sampling_box_action,box_width_frac_initial,box_width_frac_final,box_at_floor,incumbent_in_box,n_stag_before,n_stag_after,segment_best_error,global_best_error_before,global_best_error_after,reward,done
0,11,900000,15,0.9333333333333333,2740,0.08666666666666667,current-to-best/1/bin,0.5,0.9,0.05,4,0.041700005531311035,0.013231645338237286,True,False,7,8,16.007232666015625,14.2393798828125,14.2393798828125,0.0,False
0,11,900000,16,0.8,2880,0.04,rand/2/bin,0.5,0.9,0.1,3,0.041700005531311035,0.04881148040294647,True,False,8,9,21.81231689453125,14.2393798828125,14.2393798828125,0.0,True
1,11,900001,1,2.933333333333333,140,0.9533333333333334,best/1/bin,0.5,0.9,0.15,4,0.36103782057762146,0.0015518417349085212,False,False,0,0,6.995269775390625,61.976654052734375,6.995269775390625,-6.995269775390625,False
1,11,900001,2,0.9333333333333333,580,0.8066666666666666,current-to-best/1/bin,0.5,0.9,0.05,4,0.041700005531311035,0.012472693808376789,True,True,0,1,7.567779541015625,6.995269775390625,6.995269775390625,0.0,False
1,11,900001,3,0.9333333333333333,720,0.76,current-to-best/1/bin,0.5,0.9,0.05,4,0.04169999808073044,0.011180911213159561,True,True,1,2,7.93243408203125,6.995269775390625,6.995269775390625,0.0,False
1,11,900001,4,2.0,860,0.7133333333333334,rand/2/bin,0.5,0.9,0.1,3,0.04169999435544014,0.055578768253326416,True,True,2,3,11.24493408203125,6.995269775390625,6.995269775390625,0.0,False
1,11,900001,5,0.9333333333333333,1160,0.6133333333333333,current-to-best/1/bin,0.5,0.9,0.05,4,0.046359624713659286,0.03026426210999489,True,True,3,4,8.094818115234375,6.995269775390625,6.995269775390625,0.0,False
1,11,900001,6,2.0,1300,0.5666666666666667,rand/2/bin,0.5,0.9,0.1,3,0.04170000180602074,0.055518995970487595,True,True,4,5,8.942108154296875,6.995269775390625,6.995269775390625,0.0,False
1,11,900001,7,0.9333333333333333,1600,0.4666666666666667,current-to-best/1/bin,0.5,0.9,0.05,4,0.042068831622600555,0.01812014915049076,True,True,5,6,7.53131103515625,6.995269775390625,6.995269775390625,0.0,False
1,11,900001,8,2.0,1740,0.42,rand/2/bin,0.5,0.9,0.1,3,0.04169999808073044,0.03964238241314888,True,True,6,7,8.1734619140625,6.995269775390625,6.995269775390625,0.0,False
1,11,900001,9,0.9333333333333333,2040,0.32,current-to-best/1/bin,0.5,0.9,0.05,4,0.04169999808073044,0.030163273215293884,True,True,7,8,8.130401611328125,6.995269775390625,6.995269775390625,0.0,False
1,11,900001,10,0.9333333333333333,2180,0.2733333333333333,current-to-best/1/bin,0.5,0.9,0.05,4,0.041700005531311035,0.014029400423169136,True,True,8,9,7.853271484375,6.995269775390625,6.995269775390625,0.0,False
1,11,900001,11,2.0,2320,0.22666666666666666,rand/2/bin,0.5,0.9,0.1,3,0.041700005531311035,0.03770747035741806,True,True,9,10,7.411346435546875,6.995269775390625,6.995269775390625,0.0,False
1,11,900001,12,2.0,2620,0.12666666666666668,rand/2/bin,0.5,0.9,0.1,3,0.044986747205257416,0.04049443081021309,True,True,10,11,8.5455322265625,6.995269775390625,6.995269775390625,0.0,False
